Silverado Resort : Sales by Item
Rpt Date,5/16/2026 2:27:48 PM
Date Range,5/8/2026 - 5/8/2026
Time Range,12:00 AM - 11:59 PM
Class Type,Sales Class
Cost Centers,02-MatchPlay
Include Zero Priced Items,Yes
Major Classes,All
Major Jobs,All
Menu Items,All
Minor Classes,All
Minor Jobs,All
Order Status,All
Report By,User Closed
Segments,All
Service Types,All
Users,All

Minor Class,Menu Item,Quantity,Amount
Appetizers,1/2 Caesar,1,$12.00
Appetizers,1/2 Spinach Salad,1,$14.00
Appetizers,1/2 Winter Farm Salad,2,$23.40
Appetizers,Asparagus Soup,9,$126.00
Appetizers,Chef's Garden Crudité,1,$20.00
Appetizers,Cubano Tartine,6,$106.40
Appetizers,Duck Confit Croquettes,12,$248.36
Appetizers,Dungeness Crab Cake,29,$650.01
Appetizers,Salt Spring Island Mussels,9,$229.60
Appetizers,Strauss Yogurt Parfait,1,$12.00
Appetizers,Tempura Oyster Mushrooms,11,$163.20
Appetizers,Thousand Layer Potato,9,$164.00
Appetizers,Whipped Farmer's Cheese,12,$186.94
Appetizers,Winter Farm Salad,3,$53.20
Beer Bottle,Athletic Golden N/A,2,$14.00
Beer Bottle,Athletic IPA N/A,3,$21.00
Beer Bottle,Coors Light BTL,5,$35.00
Beer Bottle,Guinness,5,$37.20
Beer Bottle,Highnoon,1,$10.00
Beer Bottle,Lagunitas IPA BTL,4,$26.60
Beer Bottle,Modelo BTL,6,$60.00
Beer Bottle,Sierra Nevada Pale Ale BTL,2,$14.00
Beer Bottle,Stella Btl,1,$7.00
Beer Bottle,Trumer Pilsner BTL,1,$10.00
Beer Draft,12oz Almanac Hazy IPA,1,$9.00
Beer Draft,12oz Blue Moon,1,$9.00
Beer Draft,12oz STS Pilsner,1,$9.00
Beer Draft,16oz Big Sur Dipa,1,$11.00
Beer Draft,16oz Black Butte Porter,1,$11.00
Beer Draft,16oz Faction Pilsner,8,$75.93
Beer Draft,16oz Farmers Light Lager,11,$118.80
Beer Draft,16oz Gummy Worms Hazy,1,$11.00
Beer Draft,16oz Mighty Cider,1,$11.00
Beer Draft,16oz Swamis IPA,7,$70.40
Beer Draft,20oz Big Sur Dipa,2,$22.00
Beer Draft,20oz Black Butte Porter,1,$11.00
Beer Draft,20oz Faction Pilsner,8,$83.60
Beer Draft,20oz Farmers Light Lager,6,$66.00
Beer Draft,20oz Gummy Worms Hazy,3,$33.00
Beer Draft,20oz Mighty Dry Cider,1,$11.00
Beer Draft,20oz Swamis IPA,1,$11.00
Beer Draft,22oz Almanac Hazy IPA,1,$15.00
Beer Draft,22oz Blue Moon,1,$15.00
Beer Draft,22oz STS Pilsner,1,$15.00
Bourbon Whiskey,Barrel Old Fashioned,6,$102.60
Bourbon Whiskey,Buffalo Trace,1,$14.00
Bourbon Whiskey,Bulleit Bourbon,3,$36.00
Bourbon Whiskey,Green River Bourbon,6,$70.00
Bourbon Whiskey,Maker's Mark,5,$60.00
Bourbon Whiskey,Michters,1,$16.00
Bourbon Whiskey,Woodford,1,$16.00
Breakfast Food,Belgian Waffle,3,$46.80
BTL Chardonnay,Bouchaine Chardonnay,1,$72.80
BTL Chardonnay,Honig SB,1,$72.80
BTL Other Red,Open Red,1,$13.60
BTL Other White,Open White,1,$60.00
BTL Pinot Noir,Bravium PN _ BTL,2,$32.40
BTL Sparkling Wine,Goldeneye BTL,1,$72.80
Cordial,Aperol,10,$137.20
Dessert,Carrot Cake,3,$45.00
Dessert,Carrot Cake,5,$72.00
Dessert,Cheesecake,10,$131.60
Dessert,Chocolate Mousse,10,$141.00
Dessert,Crème Brûlée,7,$84.00
