Silverado Resort : Sales by Item
Rpt Date,5/16/2026 2:28:57 PM
Date Range,5/15/2026 - 5/15/2026
Time Range,12:00 AM - 11:59 PM
Class Type,Sales Class
Cost Centers,02-MatchPlay
Include Zero Priced Items,Yes
Major Classes,All
Major Jobs,All
Menu Items,All
Minor Classes,All
Minor Jobs,All
Order Status,All
Report By,User Closed
Segments,All
Service Types,All
Users,All

Minor Class,Menu Item,Quantity,Amount
Appetizers,Asparagus Soup,9,$111.00
Appetizers,Chef's Garden Crudité,4,$76.00
Appetizers,Cubano Tartine,2,$30.40
Appetizers,Duck Confit Croquettes,8,$161.00
Appetizers,Dungeness Crab Cake,10,$225.00
Appetizers,Salt Spring Island Mussels,8,$184.80
Appetizers,Tempura Oyster Mushrooms,6,$81.60
Appetizers,Thousand Layer Potato,5,$92.00
Appetizers,Whipped Farmer's Cheese,8,$119.00
Beer Bottle,Coors Light BTL,9,$61.60
Beer Bottle,Lagunitas IPA BTL,3,$21.00
Beer Bottle,Sierra Nevada Pale Ale BTL,3,$21.00
Beer Bottle,Stella Btl,1,$7.00
Beer Draft,16oz Faction Pilsner,10,$82.80
Beer Draft,16oz Farmers Light Lager,16,$144.00
Beer Draft,16oz Gummy Worms Hazy,2,$18.00
Beer Draft,16oz Mighty Cider,1,$9.00
Beer Draft,20oz Big Sur Dipa,2,$19.80
Beer Draft,20oz Faction Pilsner,15,$154.00
Beer Draft,20oz Farmers Light Lager,11,$116.60
Beer Draft,20oz Gummy Worms Hazy,2,$22.00
Beer Draft,20oz Mighty Dry Cider,1,$11.00
Beer Draft,20oz Swamis IPA,1,$8.80
Bourbon Whiskey,Barrel Old Fashioned,2,$34.20
Bourbon Whiskey,Crown Royal,4,$51.00
Bourbon Whiskey,Green River Bourbon,1,$11.20
Bourbon Whiskey,Jack Daniels,2,$30.00
Bourbon Whiskey,Maker's Mark,2,$24.00
Breakfast Food,Avocado Toast,10,$254.80
Breakfast Food,BLT Benedict,8,$208.00
Breakfast Food,Breakfast Grilled Cheese Sandwich,8,$192.00
Breakfast Food,Buttermilk Pancakes,2,$38.00
Breakfast Food,Cornmeal Biscuit,1,$11.00
Breakfast Food,Egg White Frittata,1,$21.00
Breakfast Food,Garden Omelet,10,$206.80
Breakfast Food,Greek Yogurt Parfait,6,$84.00
Breakfast Food,Lemon Ricotta Waffle,2,$30.40
Breakfast Food,Steak & Eggs,2,$76.00
Breakfast Food,Steel Cut Oats,1,$14.00
Breakfast Food,Strawberry Shortcake French Toast,2,$40.00
Breakfast Food,Two Egg Breakfast,23,$506.00
Breakfast Food,Warm Bran Muffin,2,$22.00
BTL Chardonnay,Daou Rose,2,$153.00
BTL Other Red,Open Red,2,$627.00
BTL Other White,Open White,1,$24.00
BTL Pinot Noir,Bravium PN _ BTL,1,$72.00
Cordial,Aperol,12,$156.80
Cordial,Kahlua,1,$14.00
Cordial,St. Germain,2,$32.00
Dessert,Carrot Cake,4,$57.00
Dessert,Cheesecake,6,$70.00
Dessert,Chocolate Mousse,6,$82.50
Dessert,Crème Brûlée,2,$19.20
Entree Fish,Ahi Tuna Niçoise,13,$300.00
Entree Fish,Dungeness Crab Louis,6,$166.40
Entree Fish,Pan Seared Scallops,7,$270.72
Entree Fish,Roasted King Salmon,8,$316.80
Entree Kids,Ice Cream,2,$10.00
Entree Kids,Kids - Butter Noodles,2,$30.00
Entree Kids,Kids - Grilled Cheese,1,$7.50
Entree Kids,Kids Burger,3,$45.00
Entree Kids,Kids- Chicken Strips,3,$42.00
Entrée Meat,Bistro Filet Steak Frites,6,$378.00
Entrée Meat,Double Cut Pork Chop,6,$259.20
Entrée Meat,Grilled Zabuton Steak,1,$75.00
Entrée Meat,Matchplay Burger,24,$580.00
Entrée Meat,Matchplay Short Rib Burger,26,$595.08
Entrée Meat,Open Food,9,$57.20
Entrée Meat,Tagliatelle Bolognese,15,$366.56
Entree Poultry,Chicken Pot Pie,14,$360.00
Entree Poultry,Flat Iron Steak ,1,$20.00
Entree Poultry,Fried Chicken Sandwich,15,$365.00
Entree Vegetarian,Fried Green Tomato Caprese,4,$92.00
Entree Vegetarian,Parisian Gnocchi,3,$75.60
Entree Vegetarian,Spring Pea Agnolotti,5,$124.20
Entree Vegetarian,Wild Mushroom Pappardelle,4,$80.00
Fire Course,***FIRE***,22,$0.00
Gin,Bombay Dry,2,$27.00
Gin,Hendrick's,2,$24.00
Gin,Martin Miller's,1,$15.00
GLS White Wine,Goldeneye Brut Rosé GLS,1,$21.00
GLS Wine ,Beringer Cab - BTG,4,$48.00
GLS Wine ,Bernardus PN - BTG ,3,$66.00
GLS Wine ,Black Stallion - Cab - BTG ,2,$34.00
GLS Wine ,Bravium PN - BTG,6,$97.20
GLS Wine ,Bravium Rosé GLS,1,$18.00
GLS Wine ,Buchaine Chardonnay BTG,13,$216.80
GLS Wine ,Chandon By the Bay,2,$38.00
GLS Wine ,Daou BTG,11,$176.80
GLS Wine ,Goldeneye BTG,1,$18.00
GLS Wine ,Honig SB BTG,10,$126.60
GLS Wine ,Honig SB GLS,3,$41.60
GLS Wine ,Jayson Chardonnay BTG,1,$24.30
GLS Wine ,Justin Chardonnay BTG,9,$149.40
GLS Wine ,Mimosa,3,$31.20
GLS Wine ,Mumm Napa Brut BTG,2,$46.00
GLS Wine ,Prime Solum Rosé GLS,1,$12.00
Liqueur,Cassis Spritz,2,$38.00
Liqueur,Limoncello Collins,4,$64.60
Liquor,Mojito,1,$0.00
Liquor,Open Liquor,1,$5.00
Liquor,Silverado Mary,4,$68.40
Liquor Modifiers,(MOD) Do Not Make,14,$0.00
Liquor Modifiers,(MOD) No,1,$0.00
Liquor Modifiers,(MOD) On The Side,2,$0.00
Liquor Modifiers,(MOD) Special Instruction,207,$0.00
Liquor Modifiers,Large Cube,1,$0.00
Liquor Modifiers,Split,4,$0.00
Liquor Prep,Club Soda,22,$0.00
Liquor Prep,Cranberry,6,$0.00
Liquor Prep,Dirty,1,$0.00
Liquor Prep,Grapefruit,2,$0.00
Liquor Prep,NUTRL - Lime,1,$7.00
Liquor Prep,NUTRL - Orange,9,$63.00
Liquor Prep,Rocks,9,$0.00
Liquor Prep,Salt,2,$0.00
Liquor Prep,Tonic,2,$0.00
N/C Food Mods,(MOD) (Meat Temp) Medium,24,$0.00
N/C Food Mods,(MOD) Med. Well,12,$0.00
N/C Food Mods,(MOD) Well Done,4,$0.00
N/C Food Mods,English Muffin,2,$0.00
N/C Food Mods,Fingerlings,20,$0.00
N/C Food Mods,Fruit,9,$0.00
N/C Food Mods,No Anchovies,8,$0.00
N/C Food Mods,No Cheese,5,$0.00
N/C Food Mods,No Croutons,1,$0.00
N/C Food Mods,No Pickles,1,$0.00
N/C Food Mods,No Side,4,$0.00
N/C Food Mods,Orange,1,$0.00
N/C Food Mods,Over Easy,7,$0.00
N/C Food Mods,Over Medium,6,$0.00
N/C Food Mods,Poached,2,$0.00
N/C Food Mods,Scrambled,14,$0.00
N/C Food Mods,Sourdough,27,$0.00
N/C Food Mods,Sunny Side Up,2,$0.00
N/C Food Mods,To  Go,21,$0.00
N/C Food Mods,Wheat,5,$0.00
N/C Food Mods,White,3,$0.00
Non-Alcoholic Beverage,(MOD) Med. Rare,20,$0.00
Non-Alcoholic Beverage,Arnold Palmer,10,$46.00
Non-Alcoholic Beverage,Cassis Sparkler N/A,12,$141.60
Non-Alcoholic Beverage,Cherry Sparkler N/A,6,$69.60
Non-Alcoholic Beverage,Coffee,39,$192.00
Non-Alcoholic Beverage,Coke,5,$21.00
Non-Alcoholic Beverage,Diet Coke,9,$44.00
Non-Alcoholic Beverage,Grapefruit Juice,2,$10.80
Non-Alcoholic Beverage,Grill Cappuccino,6,$36.00
Non-Alcoholic Beverage,Grill Espresso,4,$20.00
Non-Alcoholic Beverage,Hot Tea,1,$5.00
Non-Alcoholic Beverage,Iced Tea,7,$35.00
Non-Alcoholic Beverage,Latte,10,$60.00
Non-Alcoholic Beverage,Lemonade,2,$9.00
Non-Alcoholic Beverage,N/A,2,$17.00
Non-Alcoholic Beverage,Orange Juice,9,$54.00
Non-Alcoholic Beverage,Sprite,6,$29.00
Non-Alcoholic Beverage,Tonic Water,1,$5.00
Non-Alcoholic Beverage,Whole Milk,10,$0.00
Priced Bev Mods,(Med),5,$0.00
Priced Bev Mods,Add Shot,13,$26.00
Priced Bev Mods,Non Fat Milk,1,$0.00
Priced Food Mod,Add 2 Eggs,2,$10.80
Priced Food Mod,Add Avocado,9,$52.80
Priced Food Mod,Add Bacon,1,$6.00
Priced Food Mod,Add Cheese,3,$6.00
Priced Food Mod,Add Egg,4,$12.00
Priced Food Mod,Grilled Chicken,19,$180.00
Priced Food Mod,Salmon,6,$102.00
Priced Food Mod,Side Caesar,7,$17.00
Priced Liquor Mods,$ Liq Prep ,2,$11.20
Priced Liquor Mods,Bloody,4,$14.26
Priced Liquor Mods,Blue Cheese Olive ,1,$3.00
