Silverado Resort : Sales by Item
Rpt Date,5/16/2026 2:28:28 PM
Date Range,5/12/2026 - 5/12/2026
Time Range,12:00 AM - 11:59 PM
Class Type,Sales Class
Cost Centers,02-MatchPlay
Include Zero Priced Items,Yes
Major Classes,All
Major Jobs,All
Menu Items,All
Minor Classes,All
Minor Jobs,All
Order Status,All
Report By,User Closed
Segments,All
Service Types,All
Users,All

Minor Class,Menu Item,Quantity,Amount
Appetizers,Asparagus Soup,8,$108.00
Appetizers,Chef's Garden Crudité,2,$40.00
Appetizers,Cubano Tartine,2,$38.00
Appetizers,Duck Confit Croquettes,2,$41.40
Appetizers,Dungeness Crab Cake,10,$222.51
Appetizers,Salt Spring Island Mussels,1,$28.00
Appetizers,Tempura Oyster Mushrooms,5,$70.40
Appetizers,Thousand Layer Potato,1,$16.00
Appetizers,Whipped Farmer's Cheese,2,$30.60
Beer Bottle,Athletic Golden N/A,1,$7.00
Beer Bottle,Athletic IPA N/A,3,$18.20
Beer Bottle,Coors Light BTL,13,$91.00
Beer Bottle,Lagunitas IPA BTL,3,$21.00
Beer Bottle,Stella Btl,3,$21.00
Beer Draft,16oz Big Sur Dipa,1,$9.00
Beer Draft,16oz Faction Pilsner,7,$59.76
Beer Draft,16oz Farmers Light Lager,5,$45.00
Beer Draft,16oz Gummy Worms Hazy,3,$27.00
Beer Draft,16oz Swamis IPA,2,$18.00
Beer Draft,20oz Faction Pilsner,7,$74.80
Beer Draft,20oz Swamis IPA,1,$11.00
Bourbon Whiskey,Barrel Old Fashioned,3,$53.20
Bourbon Whiskey,Bulliet Rye,2,$27.00
Bourbon Whiskey,Crown Royal,2,$30.00
Bourbon Whiskey,Green River Bourbon,1,$11.20
Bourbon Whiskey,Maker's Mark,3,$45.00
Bourbon Whiskey,Woodford,3,$44.80
Breakfast Food,BLT Benedict,1,$26.00
Breakfast Food,Breakfast Grilled Cheese Sandwich,7,$163.20
Breakfast Food,Buttermilk Pancakes,1,$19.00
Breakfast Food,Cornmeal Biscuit,2,$17.60
Breakfast Food,Egg White Frittata,1,$21.00
Breakfast Food,Garden Omelet,2,$44.00
Breakfast Food,Greek Yogurt Parfait,1,$15.00
Breakfast Food,Steel Cut Oats,2,$28.00
Breakfast Food,Strawberry Shortcake French Toast,1,$20.00
Breakfast Food,Two Egg Breakfast,9,$193.60
BTL Chardonnay,Justin Chardonnay ,1,$90.00
BTL Other Red,Open Red,2,$31.40
BTL Pinot Noir,Bernardus - PN - BTL,1,$110.00
Dessert,Carrot Cake,4,$60.00
Dessert,Cheesecake,3,$42.00
Dessert,Chocolate Mousse,2,$24.00
Entree Fish,Ahi Tuna Niçoise,2,$45.00
Entree Fish,Dungeness Crab Louis,4,$115.20
Entree Fish,Pan Seared Scallops,3,$134.40
Entree Fish,Roasted King Salmon,9,$378.40
Entree Kids,Ice Cream,1,$5.00
Entree Kids,Kids - Butter Noodles,1,$15.00
Entree Kids,Kids Burger,1,$12.00
Entrée Meat,Bistro Filet Steak Frites,6,$336.00
Entrée Meat,Double Cut Pork Chop,3,$144.00
Entrée Meat,Grilled Zabuton Steak,3,$225.00
Entrée Meat,Matchplay Burger,11,$265.00
Entrée Meat,Matchplay Short Rib Burger,19,$454.68
Entrée Meat,Open Food,8,$77.60
Entrée Meat,Tagliatelle Bolognese,18,$487.20
Entree Poultry,Chicken Pot Pie,6,$150.00
Entree Poultry,Flat Iron Steak ,1,$25.00
Entree Poultry,Fried Chicken Sandwich,6,$148.20
Entree Vegetarian,Fried Green Tomato Caprese,2,$41.41
Entree Vegetarian,Parisian Gnocchi,4,$97.20
Entree Vegetarian,Spring Pea Agnolotti,3,$70.20
Entree Vegetarian,Wild Mushroom Pappardelle,5,$102.50
Fire Course,***FIRE***,12,$0.00
Gin,Bombay Dry,1,$12.00
Gin,Hendrick's,1,$15.00
Gin,The Degroff,1,$15.20
GLS White Wine,Goldeneye Brut Rosé GLS,1,$21.00
GLS Wine ,Barnett SB BTG,4,$90.00
GLS Wine ,Beringer Cab - BTG,4,$57.00
GLS Wine ,Bernardus PN - BTG ,5,$101.20
GLS Wine ,Black Stallion - Cab - BTG ,2,$30.60
GLS Wine ,Bravium PN - BTG,2,$32.40
GLS Wine ,Buchaine Chardonnay BTG,1,$20.00
GLS Wine ,Chandon By the Bay,4,$68.40
GLS Wine ,Daou BTG,9,$139.40
